Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,4,59,6,Some Random Commen with Id 0
1,0,4,198,4,Some Random Commen with Id 1
2,0,4,22,1,Some Random Commen with Id 2
3,0,4,14,6,Some Random Commen with Id 3
4,0,4,99,7,Some Random Commen with Id 4
5,1,2,150,4,Some Random Commen with Id 5
6,1,2,106,5,Some Random Commen with Id 6
7,2,8,134,7,Some Random Commen with Id 7
8,3,5,60,6,Some Random Commen with Id 8
9,3,5,70,1,Some Random Commen with Id 9
10,3,5,131,8,Some Random Commen with Id 10
11,3,5,98,6,Some Random Commen with Id 11
12,3,5,144,0,Some Random Commen with Id 12
13,3,5,16,8,Some Random Commen with Id 13
14,4,1,128,3,Some Random Commen with Id 14
15,4,1,7,8,Some Random Commen with Id 15
16,4,1,160,7,Some Random Commen with Id 16
17,4,1,57,1,Some Random Commen with Id 17
18,4,1,27,7,Some Random Commen with Id 18
19,6,6,56,4,Some Random Commen with Id 19
20,6,6,72,9,Some Random Commen with Id 20
21,6,6,100,9,Some Random Commen with Id 21
22,6,6,97,7,Some Random Commen with Id 22
23,6,6,113,2,Some Random Commen with Id 23
24,6,6,152,4,Some Random Commen with Id 24
25,6,6,21,4,Some Random Commen with Id 25
26,6,6,187,8,Some Random Commen with Id 26
27,7,1,44,5,Some Random Commen with Id 27
28,8,9,26,5,Some Random Commen with Id 28
29,8,9,87,3,Some Random Commen with Id 29
30,8,9,130,7,Some Random Commen with Id 30
31,8,9,117,1,Some Random Commen with Id 31
32,8,9,58,3,Some Random Commen with Id 32
33,8,9,162,7,Some Random Commen with Id 33
34,9,0,53,6,Some Random Commen with Id 34
35,9,0,28,6,Some Random Commen with Id 35
36,9,0,72,3,Some Random Commen with Id 36
37,9,0,73,8,Some Random Commen with Id 37
38,9,0,115,9,Some Random Commen with Id 38
39,9,0,167,8,Some Random Commen with Id 39
40,9,0,170,7,Some Random Commen with Id 40
41,9,0,78,8,Some Random Commen with Id 41
42,10,5,182,1,Some Random Commen with Id 42
43,10,5,144,9,Some Random Commen with Id 43
44,11,7,186,1,Some Random Commen with Id 44
45,11,7,72,2,Some Random Commen with Id 45
46,11,7,31,9,Some Random Commen with Id 46
47,11,7,116,3,Some Random Commen with Id 47
48,11,7,170,8,Some Random Commen with Id 48
49,11,7,194,4,Some Random Commen with Id 49
50,11,7,92,8,Some Random Commen with Id 50
51,12,1,135,3,Some Random Commen with Id 51
52,12,1,127,6,Some Random Commen with Id 52
53,12,1,127,0,Some Random Commen with Id 53
54,12,1,96,7,Some Random Commen with Id 54
55,12,1,58,8,Some Random Commen with Id 55
56,12,1,48,1,Some Random Commen with Id 56
57,14,7,166,9,Some Random Commen with Id 57
58,14,7,44,6,Some Random Commen with Id 58
59,14,7,157,8,Some Random Commen with Id 59
60,14,7,20,0,Some Random Commen with Id 60
61,14,7,176,9,Some Random Commen with Id 61
62,14,7,49,7,Some Random Commen with Id 62
63,14,7,26,3,Some Random Commen with Id 63
64,16,7,16,5,Some Random Commen with Id 64
65,16,7,78,3,Some Random Commen with Id 65
66,16,7,192,0,Some Random Commen with Id 66
67,16,7,150,4,Some Random Commen with Id 67
68,16,7,68,2,Some Random Commen with Id 68
69,16,7,164,9,Some Random Commen with Id 69
70,16,7,156,2,Some Random Commen with Id 70
71,16,7,166,1,Some Random Commen with Id 71
72,17,9,55,3,Some Random Commen with Id 72
73,17,9,36,4,Some Random Commen with Id 73
74,17,9,26,8,Some Random Commen with Id 74
75,17,9,59,4,Some Random Commen with Id 75
76,17,9,156,9,Some Random Commen with Id 76
77,17,9,56,0,Some Random Commen with Id 77
78,17,9,24,8,Some Random Commen with Id 78
79,17,9,174,9,Some Random Commen with Id 79
80,17,9,148,3,Some Random Commen with Id 80
81,18,5,184,7,Some Random Commen with Id 81
82,19,4,183,9,Some Random Commen with Id 82
83,19,4,148,3,Some Random Commen with Id 83
84,19,4,141,2,Some Random Commen with Id 84
